ground_truth,prediction
B,A
E,A
C,A
C,A
B,A
C,A
C,A
D,A
A,B
E,A
B,B
E,B
C,B
D,A
D,B
C,B
D,A
D,B
D,B
D,B
B,A
C,B
D,A
D,A
C,A
C,B
D,B
E,B
B,B
D,A
A,A
E,A
D,A
D,B
C,A
D,A
A,B
A,B
E,E
A,A
E,A
D,B
D,A
D,A
E,A
E,B
F,B
C,A
F,A
D,A
A,A
C,B
A,B
D,A
E,A
E,A
A,A
D,A
C,A
A,B
F,A
D,B
B,A
A,A
F,B
A,B
D,A
C,A
E,B
A,B
A,B
D,A
D,A
C,A
D,A
C,A
A,A
B,A
A,B
D,B
D,A
A,B
C,B
A,A
A,B
F,A
F,A
C,A
C,A
C,B
A,B
D,A
C,B
D,A
D,A
C,B
D,A
D,A
C,A
C,A
F,A
B,E
C,A
E,A
A,B
E,B
A,B
C,B
D,E
D,B
C,A
D,A
D,A
E,A
B,A
E,B
E,A
B,A
F,B
D,A
B,A
C,A
E,B
F,A
D,B
E,A
E,A
A,A
F,A
F,A
D,A
B,B
F,A
D,A
A,A
D,A
E,A
D,A
D,B
D,B
A,B
A,A
A,B
A,B
D,B
E,A
F,B
C,A
C,B
A,A
F,B
D,A
A,B
F,B
F,A
D,A
A,A
A,A
C,B
E,A
C,A
D,A
A,A
E,A
C,A
A,A
D,B
C,A
D,A
D,A
E,B
C,A
C,A
A,B
E,B
F,A
C,A
D,B
E,E
E,B
F,A
E,A
D,B
D,B
E,A
E,A
F,B
B,A
A,A
A,A
D,A
A,A
C,A
D,A
F,A
A,A
B,B
A,A
D,A
D,A
