ground_truth,prediction
E,A
D,C
D,A
E,B
B,A
D,A
D,A
D,A
E,C
D,B
F,A
F,B
A,A
C,A
A,A
F,B
F,A
B,A
B,C
C,A
F,C
D,B
C,A
E,A
C,C
F,A
E,C
D,A
C,B
F,A
F,C
C,B
B,B
D,C
F,B
A,A
D,A
E,C
D,B
A,A
F,C
F,A
A,A
F,A
B,C
C,A
D,B
D,A
B,A
F,A
A,A
B,A
C,A
C,B
E,A
D,B
E,A
A,A
A,A
A,A
E,A
A,D
B,A
B,B
A,C
E,A
C,A
A,C
E,A
D,B
E,A
C,B
A,A
B,A
F,A
C,A
A,B
D,A
B,A
D,A
A,A
A,C
D,A
D,A
F,B
B,C
B,B
A,A
B,B
E,B
A,C
A,A
F,A
C,B
A,A
A,B
D,B
A,A
B,A
C,B
A,A
B,C
B,A
C,C
D,A
F,C
A,B
D,A
B,A
B,B
D,A
C,A
E,A
B,A
E,A
F,B
B,A
D,A
B,A
C,A
E,A
C,A
C,A
D,A
A,B
F,B
E,A
F,A
E,A
C,A
B,A
C,A
E,D
F,A
D,A
F,A
F,B
B,A
C,A
F,E
F,A
E,C
B,A
A,B
C,B
D,B
E,A
D,A
A,A
E,C
B,C
D,B
A,A
D,A
B,B
C,B
A,A
D,A
A,B
E,C
D,B
D,A
A,A
D,A
C,A
F,A
A,A
E,A
F,A
C,A
B,B
B,C
F,B
A,A
E,B
A,A
D,C
C,A
B,A
E,B
A,B
F,A
C,A
B,A
C,A
F,C
C,A
F,C
B,B
E,A
F,A
A,A
D,B
C,A
D,A
B,A
C,A
D,B
C,A
B,C
