ground_truth,prediction
D,E
F,A
D,F
F,C
D,F
E,A
C,C
G,C
F,C
B,C
F,E
F,E
F,C
C,F
D,D
C,C
A,C
F,C
G,B
F,F
F,C
B,C
F,C
F,E
D,A
C,F
C,A
F,C
F,F
D,A
G,F
F,E
C,F
F,A
B,B
A,C
F,C
E,E
F,F
D,B
F,C
F,C
F,C
F,C
F,C
F,F
F,F
F,F
A,G
F,F
C,C
A,E
D,F
A,E
A,F
A,C
D,F
F,C
F,B
D,C
G,F
A,C
F,C
F,C
A,C
B,E
C,F
F,C
G,C
A,A
F,B
F,F
F,C
F,F
A,F
A,D
A,B
D,F
F,B
C,E
C,C
C,C
A,C
D,C
F,F
A,F
B,F
F,E
F,C
D,F
F,F
A,C
D,F
F,C
F,C
F,C
D,C
D,C
C,A
B,E
F,D
G,C
C,C
F,F
D,E
G,B
A,F
A,D
D,F
A,C
A,F
F,C
F,C
A,F
F,E
F,F
F,C
F,C
F,E
F,C
F,B
F,A
F,C
F,C
C,F
D,C
B,C
A,C
A,F
F,E
B,E
D,C
F,F
F,E
F,E
F,C
C,F
D,F
D,C
D,C
B,C
F,F
F,F
D,F
F,B
A,C
F,C
A,C
C,C
F,C
F,F
A,G
F,F
F,A
F,C
F,F
G,C
D,E
A,C
D,F
D,F
B,C
F,F
C,F
F,F
F,F
A,D
F,F
D,F
C,C
F,F
F,F
F,C
C,A
D,E
F,C
F,B
D,E
A,C
D,C
A,C
F,F
F,D
C,C
F,C
F,C
C,C
F,A
F,C
E,C
A,F
F,F
C,E
B,F
F,C
B,E
B,C
F,C
F,C
F,C
