ground_truth,prediction
D,D
A,D
C,A
B,B
B,C
E,B
C,A
A,A
A,B
B,D
B,A
A,B
E,A
F,A
C,B
D,D
D,B
A,D
C,B
C,B
E,B
A,A
E,A
D,B
C,B
E,B
D,B
D,B
D,A
C,B
D,A
B,A
E,A
C,B
D,D
D,A
D,B
E,B
D,A
C,A
E,B
D,D
C,B
B,B
E,B
C,A
B,A
D,B
D,A
B,B
D,F
E,A
E,B
A,A
A,D
A,B
D,A
B,A
B,B
D,A
E,A
D,B
D,B
E,B
D,D
D,A
F,D
D,B
B,B
E,A
D,A
D,B
B,B
A,B
B,B
B,B
C,B
E,B
B,D
E,B
D,D
E,A
D,A
E,D
D,D
E,B
C,A
B,B
B,B
E,C
D,D
A,B
E,D
A,A
C,B
D,B
C,B
A,A
D,B
B,A
B,A
D,A
D,B
F,D
A,B
D,B
C,A
D,B
E,B
C,D
C,D
B,B
A,B
D,D
F,B
C,B
C,B
D,B
B,B
D,B
D,B
D,A
B,A
D,A
B,A
D,B
E,D
F,A
E,A
D,B
D,D
A,D
D,A
B,D
B,B
B,B
C,B
E,B
E,A
F,D
C,B
E,B
D,B
D,B
D,B
F,B
F,B
B,D
A,B
F,D
D,B
C,B
E,D
B,B
D,B
D,D
C,B
E,B
E,A
D,D
D,A
D,A
F,D
C,A
D,A
B,C
C,D
A,C
C,B
D,A
C,D
B,B
C,B
C,B
D,B
E,B
E,D
E,B
A,A
D,A
C,B
C,B
C,D
F,D
C,D
C,D
E,D
E,A
C,D
E,D
F,B
F,A
E,B
A,D
E,D
B,B
C,B
C,D
F,B
C,D
