ground_truth,prediction
A,B
H,H
C,I
A,G
D,E
G,B
C,B
G,H
C,I
F,I
D,G
C,G
B,H
C,G
D,E
I,B
D,G
D,B
D,A
D,I
F,I
D,H
D,B
D,H
D,E
I,B
D,H
C,B
I,H
D,H
F,A
H,H
D,G
H,G
F,B
H,E
D,B
A,H
D,I
D,B
A,B
I,I
C,H
D,H
F,I
H,G
H,H
C,E
D,H
H,A
H,G
H,C
D,G
D,I
F,B
D,I
D,G
A,E
F,E
G,H
H,B
D,B
G,H
D,H
D,G
E,B
D,B
D,H
H,B
D,I
D,H
D,H
D,I
D,H
D,B
I,E
H,H
D,I
D,H
C,B
D,I
D,A
D,H
G,B
E,G
A,G
G,C
D,E
D,I
B,G
I,I
F,H
B,I
E,H
I,G
D,I
F,B
H,I
D,I
E,E
F,I
D,B
C,B
D,G
I,B
B,G
D,B
A,H
H,I
G,A
B,B
A,H
D,B
H,I
F,H
F,I
D,B
D,B
I,B
B,A
G,B
D,B
D,H
I,G
C,I
F,G
D,I
F,H
F,B
D,G
A,I
D,H
D,G
D,B
B,H
D,I
D,H
A,I
G,E
C,H
D,H
H,I
F,G
A,B
A,A
D,F
D,I
C,I
H,G
D,I
F,H
H,I
I,B
D,I
E,E
E,I
D,I
D,I
D,B
B,G
A,H
D,H
I,G
D,I
D,H
A,G
F,H
D,I
D,G
H,A
D,B
D,H
B,I
H,E
G,G
F,F
A,I
E,B
H,G
F,H
D,G
C,A
D,I
D,E
I,B
F,G
D,G
I,B
I,H
D,B
H,B
D,B
B,H
B,B
D,B
D,B
A,H
B,A
D,E
D,G
