ground_truth,prediction
H,B
G,B
D,B
B,B
B,B
D,B
D,B
E,B
C,B
B,B
C,B
B,B
B,B
B,B
B,B
E,B
B,B
G,B
C,B
B,B
H,B
B,B
C,B
G,B
C,B
E,A
I,B
B,B
B,B
G,B
A,B
D,B
B,B
G,B
B,B
E,B
B,B
B,B
B,B
G,B
B,B
E,B
B,B
C,B
C,B
D,B
E,B
I,B
D,B
H,B
B,B
D,B
B,B
D,B
B,B
B,B
B,B
E,B
B,B
B,B
B,B
H,B
B,B
B,B
B,B
I,B
B,B
C,B
A,B
C,B
B,B
B,B
C,B
B,B
I,B
B,B
E,B
I,B
B,B
B,B
A,B
I,B
H,B
C,A
H,B
B,B
B,B
G,B
F,B
D,B
E,B
B,B
H,B
G,B
D,B
C,B
B,B
B,B
A,B
D,B
C,B
C,B
H,B
G,B
B,B
B,B
B,B
C,B
F,B
H,B
G,B
G,B
B,B
G,B
B,B
B,B
B,B
D,D
I,B
B,B
H,B
B,B
B,B
B,B
E,B
B,B
C,B
B,B
B,B
H,B
B,B
I,B
D,B
A,B
D,B
B,B
D,B
B,B
B,B
B,B
F,B
I,B
D,B
H,B
F,B
B,B
B,B
E,B
A,B
C,B
I,B
H,B
A,B
B,B
E,B
B,B
G,B
B,B
H,B
B,B
D,B
F,B
B,B
B,B
G,B
I,B
D,B
G,B
B,B
B,B
E,B
B,B
F,B
B,B
C,B
A,B
C,B
I,B
C,B
C,B
B,B
E,B
B,B
A,B
B,B
B,B
B,B
E,B
B,B
A,B
B,B
B,B
B,B
D,B
F,B
E,B
D,B
B,B
C,B
D,B
