ground_truth,prediction
F,A
C,B
F,B
D,C
E,B
E,C
C,C
E,B
C,B
E,B
D,B
E,E
A,D
C,A
C,B
D,B
C,D
B,C
E,C
F,F
F,C
E,F
B,B
C,C
D,C
E,B
C,B
F,B
C,C
C,B
E,A
C,B
B,B
A,B
C,B
D,B
F,B
F,A
A,C
B,B
E,B
B,B
F,C
D,B
A,B
A,F
B,B
F,A
B,F
A,B
D,F
C,B
D,F
D,B
A,A
F,C
A,B
B,F
B,F
E,C
A,B
C,E
E,B
E,B
A,F
F,B
F,B
D,A
D,A
F,C
B,C
C,B
F,C
C,B
F,E
B,F
A,B
C,D
E,B
C,F
D,B
D,D
D,A
A,B
F,C
A,B
F,C
D,B
D,B
E,C
C,B
E,B
E,E
D,B
E,B
D,A
F,B
E,B
F,A
B,B
F,B
A,B
D,B
C,B
E,B
E,B
C,B
E,B
B,C
D,B
E,B
C,B
A,F
E,B
B,F
B,B
B,B
A,B
D,E
E,C
B,F
C,B
B,F
F,B
F,F
D,B
E,F
F,A
D,B
A,B
D,B
A,B
A,F
F,B
B,F
F,B
F,B
D,B
C,A
C,F
C,A
F,E
B,B
D,C
D,F
C,B
E,C
E,B
C,C
D,B
D,B
D,B
B,F
A,B
D,F
A,A
B,B
F,A
B,B
F,C
F,C
C,B
B,F
A,B
D,E
B,A
A,A
E,A
C,B
B,E
D,B
B,A
B,F
B,B
B,B
A,B
F,B
A,B
C,D
E,A
D,C
C,F
D,A
F,F
C,A
B,B
E,B
B,B
D,B
C,A
C,C
A,B
E,C
A,B
E,F
D,B
F,B
D,F
F,A
C,B
