ground_truth,prediction
F,A
D,C
A,A
G,A
G,A
B,C
B,A
A,A
F,A
F,A
A,C
A,C
C,C
C,A
D,C
G,A
B,C
A,A
A,B
F,A
C,A
C,C
A,A
F,D
B,A
A,C
A,C
A,A
A,A
A,A
F,A
G,E
A,A
A,C
A,C
F,A
A,A
A,A
G,A
C,A
F,A
F,C
G,C
A,E
B,A
D,A
C,A
G,A
A,C
A,A
A,E
A,C
C,A
G,G
A,C
A,E
A,E
A,A
A,D
C,C
G,A
B,A
A,A
A,A
A,E
C,E
A,A
D,D
C,A
A,E
A,E
G,A
F,C
A,E
C,A
B,D
C,A
A,C
B,A
A,A
B,A
G,A
A,A
F,C
A,A
G,C
G,C
E,E
A,E
A,E
A,A
A,A
C,A
D,E
G,C
C,C
A,E
A,C
D,C
C,A
A,A
A,A
A,A
A,A
A,D
A,E
A,E
A,A
A,E
G,C
E,A
C,A
B,A
A,A
A,E
C,A
D,E
A,C
A,C
F,C
F,C
F,C
C,C
A,C
A,A
A,C
G,G
F,C
F,A
G,C
B,C
A,A
C,C
F,A
A,A
G,C
A,A
F,A
C,C
G,E
G,C
F,C
A,C
A,A
A,A
G,C
G,C
G,C
A,A
F,A
G,E
A,A
E,D
A,C
A,C
C,A
A,C
A,C
C,C
F,E
A,A
A,C
C,A
A,A
G,E
A,A
C,A
D,A
C,A
C,A
C,A
A,C
G,C
A,A
A,C
A,E
G,D
B,C
A,A
C,C
A,A
B,C
G,E
A,A
C,B
A,A
A,A
A,C
A,A
F,A
A,C
G,C
A,C
G,A
A,C
C,A
C,A
A,C
A,E
G,C
