id,audio_tokens
NoiseDetection_0,<aud_01007><aud_00915><aud_00915><aud_00681><aud_00904><aud_00904><aud_00532><aud_00675><aud_00675><aud_00852><aud_00852><aud_00852><aud_00779><aud_00684><aud_00685><aud_00195><aud_00195><aud_00701><aud_00276><aud_00875><aud_00875><aud_00875><aud_00387><aud_00339><aud_00997><aud_00611><aud_00197><aud_00358><aud_00851><aud_00466><aud_00904><aud_00532><aud_00740><aud_00740><aud_00061><aud_00321><aud_00321><aud_00810><aud_00838><aud_00325><aud_00325><aud_00521><aud_00090><aud_00985><aud_00985><aud_00421><aud_00421><aud_00382><aud_00140><aud_00140><aud_00805><aud_00625><aud_00631><aud_00631><aud_00813><aud_00373><aud_00373><aud_00506><aud_00506><aud_00506><aud_00506><aud_00528><aud_00528><aud_00528><aud_00614><aud_00607><aud_00607><aud_00127><aud_00894><aud_00522><aud_00129><aud_00690><aud_00477><aud_00477><aud_00218><aud_00169><aud_00965><aud_00965><aud_00176><aud_00176><aud_00200><aud_00200><aud_00338><aud_00338><aud_00313><aud_00051><aud_00405><aud_00143><aud_00209><aud_00316><aud_00316><aud_00721><aud_00721><aud_00362><aud_00390><aud_00978><aud_00370><aud_00370><aud_00002><aud_00559><aud_00550><aud_00784><aud_00216><aud_00621><aud_00621><aud_00621><aud_00902><aud_00902><aud_00902><aud_00483><aud_00702><aud_00531><aud_00794><aud_01009><aud_00056><aud_00889><aud_00062><aud_00633><aud_01011><aud_00802><aud_00545><aud_00678><aud_00002><aud_00550><aud_00784><aud_00994><aud_00994><aud_00994><aud_00994><aud_00994><aud_00361><aud_00361><aud_00493><aud_00493><aud_00570><aud_00710><aud_00436><aud_00436><aud_00083><aud_00450><aud_00357><aud_00213><aud_00808><aud_00808><aud_00808><aud_00658><aud_00658><aud_00402><aud_00229><aud_00353><aud_00992><aud_00997><aud_00611><aud_00740><aud_00740><aud_00173><aud_00136><aud_00754><aud_00126><aud_00126><aud_00126><aud_00369><aud_00369><aud_00992><aud_00022><aud_00062><aud_00602><aud_00633><aud_00042><aud_00419><aud_00419><aud_00097><aud_00399><aud_00397><aud_00473><aud_00627><aud_00678><aud_00678><aud_00559><aud_00655><aud_00655><aud_00655><aud_00630><aud_00630><aud_00755><aud_00558><aud_00037><aud_00037><aud_00610><aud_00628><aud_00460><aud_00339><aud_00030><aud_00578><aud_00122><aud_00290><aud_00290><aud_00816><aud_00559><aud_00550><aud_00055>
NoiseDetection_1,<aud_00978><aud_00978><aud_00382><aud_00140><aud_00140><aud_01002><aud_01002><aud_01002><aud_00716><aud_00099><aud_00913><aud_00913><aud_00913><aud_00389><aud_00389><aud_00141><aud_00246><aud_00246><aud_00246><aud_00131><aud_00019><aud_00449><aud_00449><aud_00248><aud_00444><aud_00444><aud_00188><aud_00266><aud_00834><aud_00834><aud_00838><aud_00852><aud_00852><aud_00124><aud_00589><aud_00248><aud_00234><aud_00778><aud_00778><aud_00293><aud_00293><aud_00456><aud_00738><aud_00738><aud_00264><aud_00318><aud_00318><aud_00318><aud_00164><aud_00164><aud_00936><aud_00809><aud_00809><aud_00039><aud_00186><aud_00186><aud_00426><aud_00426><aud_00415><aud_00415><aud_00415><aud_00534><aud_00534><aud_00941><aud_00941><aud_00941><aud_00269><aud_00209><aud_00181><aud_00585><aud_00957><aud_01023><aud_01023><aud_00081><aud_00352><aud_00845><aud_00636><aud_00636><aud_00113><aud_00501><aud_01020><aud_01020><aud_01020><aud_01020><aud_01020><aud_01020><aud_00580><aud_00580><aud_00704><aud_00756><aud_00756><aud_00939><aud_00939><aud_01009><aud_00056><aud_00056><aud_00740><aud_00740><aud_00061><aud_00321><aud_00321><aud_00754><aud_00437><aud_00437><aud_00437><aud_00437><aud_00126><aud_00126><aud_00273><aud_00369><aud_00369><aud_00904><aud_00279><aud_00532><aud_00651><aud_00961><aud_00961><aud_00961><aud_00362><aud_00390><aud_00312><aud_00694><aud_00694><aud_00052><aud_00061><aud_00754><aud_00437><aud_00437><aud_00297><aud_00297><aud_00528><aud_00589><aud_00589><aud_00248><aud_00614><aud_00995><aud_00162><aud_00421><aud_00879><aud_00879><aud_00879><aud_00212><aud_00212><aud_00212><aud_00085><aud_00085><aud_00085><aud_00129><aud_00129><aud_00690><aud_00069><aud_00069><aud_00764><aud_00336><aud_00032><aud_00218><aud_00189><aud_00189><aud_00189><aud_00189><aud_00189><aud_00189><aud_00102><aud_00102><aud_00534><aud_00534><aud_00896><aud_00811><aud_00811><aud_00269><aud_00209><aud_00209><aud_00181><aud_00661><aud_00661><aud_00928><aud_00876><aud_00876><aud_00273><aud_00683><aud_00987><aud_00095><aud_00095><aud_00298><aud_00215><aud_00591><aud_00591><aud_00591><aud_00387><aud_00339><aud_00030><aud_00458><aud_00122><aud_00290><aud_00816><aud_00550><aud_00655><aud_00630><aud_00630><aud_00755><aud_00755>
NoiseDetection_2,<aud_00310><aud_00310><aud_00310><aud_00511><aud_00511><aud_00855><aud_00855><aud_00737><aud_00161><aud_00161><aud_00752><aud_00287><aud_00442><aud_00998><aud_00998><aud_00094><aud_00484><aud_00435><aud_00435><aud_00268><aud_00268><aud_00268><aud_00431><aud_00431><aud_00167><aud_00792><aud_01011><aud_00424><aud_00832><aud_00167><aud_00096><aud_00539><aud_00631><aud_00631><aud_00728><aud_00728><aud_00728><aud_00728><aud_00731><aud_00731><aud_00438><aud_00438><aud_00438><aud_00438><aud_00438><aud_00438><aud_00277><aud_00277><aud_00277><aud_00516><aud_00516><aud_00516><aud_00516><aud_00543><aud_00543><aud_00039><aud_00039><aud_00087><aud_00555><aud_00555><aud_00555><aud_00555><aud_00555><aud_00555><aud_00386><aud_00555><aud_00555><aud_00555><aud_00567><aud_00567><aud_00567><aud_00136><aud_00015><aud_00785><aud_00454><aud_00454><aud_00207><aud_00565><aud_00847><aud_00847><aud_00687><aud_00687><aud_00088><aud_00088><aud_00667><aud_00747><aud_00747><aud_00802><aud_00954><aud_00906><aud_00906><aud_00742><aud_00235><aud_00699><aud_00342><aud_00342><aud_00342><aud_00342><aud_00214><aud_00167><aud_00227><aud_00588><aud_00588><aud_00586><aud_00424><aud_00947><aud_00947><aud_00513><aud_00513><aud_00927><aud_00927><aud_00554><aud_00471><aud_00471><aud_00089><aud_00296><aud_00035><aud_00849><aud_00849><aud_00202><aud_00202><aud_00780><aud_00780><aud_00104><aud_00104><aud_00104><aud_00374><aud_00374><aud_00732><aud_00732><aud_00214><aud_00167><aud_00552><aud_00565><aud_00444><aud_00188><aud_00266><aud_00464><aud_00464><aud_00464><aud_00457><aud_00457><aud_00864><aud_00397><aud_00714><aud_00527><aud_00101><aud_00035><aud_00955><aud_00955><aud_00955><aud_00833><aud_00833><aud_00867><aud_00867><aud_00273><aud_00989><aud_00808><aud_00243><aud_00243><aud_00840><aud_00840><aud_00719><aud_00719><aud_00110><aud_00110><aud_00110><aud_00110><aud_00110><aud_00110><aud_00132><aud_00379><aud_00786><aud_00786><aud_00553><aud_00310><aud_01016><aud_01006><aud_00855><aud_00737><aud_00388><aud_00161><aud_00161><aud_00679><aud_00287><aud_00442><aud_00998><aud_00998><aud_00462><aud_00435><aud_00435><aud_00435><aud_00435><aud_00013><aud_00013><aud_00123><aud_00123><aud_00864><aud_00864><aud_00996><aud_01007>
NoiseDetection_3,<aud_00711><aud_00035><aud_00132><aud_00479><aud_00697><aud_00780><aud_00542><aud_00368><aud_00922><aud_00558><aud_00018><aud_00037><aud_00037><aud_00610><aud_00610><aud_00628><aud_00296><aud_00035><aud_00132><aud_00132><aud_00849><aud_00132><aud_00132><aud_00132><aud_00786><aud_00786><aud_00743><aud_00794><aud_00904><aud_00944><aud_00532><aud_00675><aud_00286><aud_00286><aud_00489><aud_00489><aud_00361><aud_00361><aud_00493><aud_00162><aud_00864><aud_00714><aud_00273><aud_00714><aud_00802><aud_00162><aud_00436><aud_00436><aud_00450><aud_00450><aud_00357><aud_00104><aud_00104><aud_00104><aud_00104><aud_00104><aud_00374><aud_00374><aud_00374><aud_00732><aud_00732><aud_00956><aud_00522><aud_00522><aud_00522><aud_00611><aud_00532><aud_00651><aud_00452><aud_00101><aud_00101><aud_00035><aud_00132><aud_00132><aud_00786><aud_00996><aud_00996><aud_00175><aud_00175><aud_00456><aud_00456><aud_00738><aud_00696><aud_00696><aud_00530><aud_00530><aud_00530><aud_00622><aud_00622><aud_00614><aud_00614><aud_00614><aud_00025><aud_00557><aud_00996><aud_00996><aud_00124><aud_00124><aud_00790><aud_00248><aud_00248><aud_00961><aud_00735><aud_00735><aud_00613><aud_00527><aud_00870><aud_00711><aud_00035><aud_00849><aud_00849><aud_00849><aud_00849><aud_00027><aud_00027><aud_00576><aud_00576><aud_00171><aud_00483><aud_00273><aud_00199><aud_00199><aud_00852><aud_01007><aud_00746><aud_00746><aud_00719><aud_00719><aud_00719><aud_00835><aud_00976><aud_00806><aud_00806><aud_00458><aud_00475><aud_00711><aud_00711><aud_00711><aud_00849><aud_00849><aud_00849><aud_00849><aud_00849><aud_00849><aud_00849><aud_00849><aud_00849><aud_00786><aud_00786><aud_00513><aud_00513><aud_00440><aud_00416><aud_00118><aud_00118><aud_00359><aud_00221><aud_00221><aud_00221><aud_00360><aud_00942><aud_00703><aud_00703><aud_00932><aud_00932><aud_00932><aud_00778><aud_00778><aud_00829><aud_00829><aud_00097><aud_00215><aud_00215><aud_00472><aud_00472><aud_00472><aud_00536><aud_00536><aud_00536><aud_00536><aud_00536><aud_00360><aud_00360><aud_00395><aud_00629><aud_00093><aud_00565><aud_00444><aud_00444><aud_00444><aud_00188><aud_00677><aud_00132><aud_00955><aud_00833><aud_00029><aud_00397><aud_00473><aud_01012><aud_00615><aud_00285>
NoiseDetection_4,<aud_00095><aud_00095><aud_00095><aud_00095><aud_00559><aud_00784><aud_00784><aud_00206><aud_00206><aud_00425><aud_00425><aud_00425><aud_00610><aud_00214><aud_00486><aud_00378><aud_00800><aud_00499><aud_00423><aud_00423><aud_00832><aud_00792><aud_00792><aud_00542><aud_00542><aud_00542><aud_00004><aud_00004><aud_00004><aud_00568><aud_00568><aud_00987><aud_00095><aud_00095><aud_00749><aud_00818><aud_00397><aud_00739><aud_00527><aud_00101><aud_00332><aud_00332><aud_00577><aud_00577><aud_00202><aud_00392><aud_00392><aud_00922><aud_00922><aud_00922><aud_00018><aud_00018><aud_00018><aud_00121><aud_00421><aud_00421><aud_00382><aud_00140><aud_00140><aud_00756><aud_00756><aud_00939><aud_00681><aud_01009><aud_00056><aud_00122><aud_00647><aud_00701><aud_00083><aud_00450><aud_00558><aud_00558><aud_00037><aud_00610><aud_00610><aud_00947><aud_01010><aud_00311><aud_00440><aud_00566><aud_00566><aud_01015><aud_01015><aud_00548><aud_00548><aud_00251><aud_00479><aud_00697><aud_00910><aud_00933><aud_00918><aud_00918><aud_00597><aud_00597><aud_00504><aud_00956><aud_00956><aud_00219><aud_00219><aud_00999><aud_00862><aud_00862><aud_00714><aud_00527><aud_00101><aud_00035><aud_00849><aud_00849><aud_00577><aud_00027><aud_00576><aud_00576><aud_00199><aud_00199><aud_00199><aud_00514><aud_00267><aud_00267><aud_00804><aud_00804><aud_00804><aud_00644><aud_00644><aud_00041><aud_00174><aud_00302><aud_00302><aud_00302><aud_00434><aud_00434><aud_00229><aud_00236><aud_00690><aud_00690><aud_00997><aud_00740><aud_00740><aud_00173><aud_00173><aud_00600><aud_00310><aud_01016><aud_01016><aud_00677><aud_00672><aud_00520><aud_00294><aud_00749><aud_00397><aud_00473><aud_00473><aud_00791><aud_00791><aud_00440><aud_00416><aud_00416><aud_00118><aud_00755><aud_00558><aud_00558><aud_00037><aud_00121><aud_00920><aud_00296><aud_00132><aud_00132><aud_00786><aud_00990><aud_00632><aud_00632><aud_00632><aud_00615><aud_00625><aud_00631><aud_00770><aud_00770><aud_00770><aud_01005><aud_01005><aud_01005><aud_01005><aud_00718><aud_00406><aud_00459><aud_00760><aud_00881><aud_00639><aud_00524><aud_00524><aud_00524><aud_00524><aud_01007><aud_01007><aud_00779><aud_00684><aud_00684><aud_00152><aud_00195><aud_00195><aud_00363><aud_00370>
NoiseDetection_5,<aud_00285><aud_00674><aud_00674><aud_00644><aud_00889><aud_00602><aud_00633><aud_00976><aud_00303><aud_00801><aud_00782><aud_00165><aud_00351><aud_00351><aud_00170><aud_01006><aud_01006><aud_01006><aud_00701><aud_00701><aud_00701><aud_00436><aud_00436><aud_00450><aud_00450><aud_00357><aud_00163><aud_00315><aud_00315><aud_00123><aud_00123><aud_00884><aud_00864><aud_00292><aud_00292><aud_00900><aud_00540><aud_00343><aud_00921><aud_00921><aud_01018><aud_00905><aud_00394><aud_00388><aud_00679><aud_00679><aud_00442><aud_00850><aud_00850><aud_00850><aud_00850><aud_00305><aud_00305><aud_00870><aud_00870><aud_00955><aud_00955><aud_00955><aud_00833><aud_00833><aud_00837><aud_00837><aud_00837><aud_00837><aud_00540><aud_00343><aud_00767><aud_00767><aud_00328><aud_00273><aud_00702><aud_00273><aud_00877><aud_00111><aud_00111><aud_00734><aud_00327><aud_00327><aud_00882><aud_00264><aud_00768><aud_00768><aud_00768><aud_00075><aud_00075><aud_00771><aud_00771><aud_00771><aud_00653><aud_00885><aud_00885><aud_00948><aud_00948><aud_00948><aud_00718><aud_00624><aud_00624><aud_00174><aud_00496><aud_00660><aud_00660><aud_00859><aud_00859><aud_00952><aud_00952><aud_00840><aud_00677><aud_00955><aud_00955><aud_00833><aud_00833><aud_00818><aud_00588><aud_00588><aud_00089><aud_00541><aud_00296><aud_00955><aud_00204><aud_00479><aud_00697><aud_00910><aud_00780><aud_00933><aud_00857><aud_00831><aud_00857><aud_00323><aud_00840><aud_00840><aud_00719><aud_00677><aud_00110><aud_00672><aud_00835><aud_00835><aud_00043><aud_00806><aud_00937><aud_00889><aud_00590><aud_00602><aud_00602><aud_00976><aud_00006><aud_00555><aud_00555><aud_00555><aud_00555><aud_00555><aud_00555><aud_00555><aud_00943><aud_00943><aud_00943><aud_00943><aud_00943><aud_00943><aud_00943><aud_00943><aud_00943><aud_00943><aud_00943><aud_00943><aud_00943><aud_00567><aud_00567><aud_00567><aud_00567><aud_00567><aud_00666><aud_00165><aud_00351><aud_00351><aud_00829><aud_00097><aud_00029><aud_00029><aud_00714><aud_00774><aud_00774><aud_00868><aud_00263><aud_00263><aud_00194><aud_00194><aud_00194><aud_00342><aud_00750><aud_00750><aud_00884><aud_00884><aud_00292><aud_00292><aud_00900><aud_00540><aud_00343><aud_00921><aud_01012><aud_00858><aud_00220>
NoiseDetection_6,<aud_00631><aud_00631><aud_00728><aud_00770><aud_00373><aud_00622><aud_00622><aud_00220><aud_00220><aud_00527><aud_00296><aud_00035><aud_00035><aud_00849><aud_00027><aud_00027><aud_00786><aud_00786><aud_00527><aud_00527><aud_00527><aud_00035><aud_00035><aud_00132><aud_00786><aud_00786><aud_00867><aud_00867><aud_00094><aud_00221><aud_00221><aud_00094><aud_00094><aud_00840><aud_00285><aud_00035><aud_00132><aud_00132><aud_00786><aud_00786><aud_00714><aud_00527><aud_00527><aud_00035><aud_00035><aud_00849><aud_00849><aud_00849><aud_00849><aud_00849><aud_00786><aud_00220><aud_00220><aud_00035><aud_00849><aud_00849><aud_00379><aud_00379><aud_00867><aud_00838><aud_00838><aud_00838><aud_00094><aud_01007><aud_01007><aud_01007><aud_01007><aud_00090><aud_00750><aud_00750><aud_00123><aud_00132><aud_00786><aud_00864><aud_00996><aud_00953><aud_00953><aud_00220><aud_00220><aud_00094><aud_00220><aud_00220><aud_00220><aud_00220><aud_00220><aud_00220><aud_00220><aud_00220><aud_00220><aud_00976><aud_00094><aud_00094><aud_00220><aud_00094><aud_00594><aud_00594><aud_00594><aud_00594><aud_00594><aud_00594><aud_00594><aud_00594><aud_00594><aud_00594><aud_00594><aud_00035><aud_00594><aud_00284><aud_00220><aud_00220><aud_00513><aud_00513><aud_00094><aud_00513><aud_00705><aud_00194><aud_00641><aud_00641><aud_00641><aud_00342><aud_00750><aud_00296><aud_00296><aud_00035><aud_00132><aud_00849><aud_00849><aud_00027><aud_00786><aud_00786><aud_01011><aud_00527><aud_00132><aud_00132><aud_00786><aud_00834><aud_00879><aud_00286><aud_00213><aud_00535><aud_00535><aud_00535><aud_00797><aud_01012><aud_00418><aud_00705><aud_00714><aud_00789><aud_00789><aud_00789><aud_00980><aud_00980><aud_00115><aud_00115><aud_00912><aud_00912><aud_00283><aud_00283><aud_00283><aud_00753><aud_00285><aud_00296><aud_00035><aud_00035><aud_00132><aud_00786><aud_00786><aud_00996><aud_00953><aud_00622><aud_00622><aud_00228><aud_00831><aud_00535><aud_00831><aud_00831><aud_00094><aud_00094><aud_00094><aud_00094><aud_00677><aud_00110><aud_00110><aud_00110><aud_00110><aud_00110><aud_00110><aud_00110><aud_00110><aud_00849><aud_00849><aud_00849><aud_00849><aud_00035><aud_00035><aud_00094><aud_00035><aud_00035><aud_00849><aud_00849><aud_00035>
NoiseDetection_7,<aud_00188><aud_00188><aud_00464><aud_00464><aud_00812><aud_00812><aud_00474><aud_00860><aud_00860><aud_00237><aud_00237><aud_00716><aud_00099><aud_00099><aud_00521><aud_00467><aud_00467><aud_01010><aud_01010><aud_00855><aud_00737><aud_00161><aud_00161><aud_00679><aud_00679><aud_00442><aud_00741><aud_00998><aud_00614><aud_00305><aud_00083><aud_00557><aud_00774><aud_00774><aud_00596><aud_00929><aud_00608><aud_00733><aud_00733><aud_00018><aud_00168><aud_00168><aud_00168><aud_00191><aud_00191><aud_00825><aud_00825><aud_00844><aud_00293><aud_00814><aud_00800><aud_00800><aud_00318><aud_00318><aud_00318><aud_00318><aud_00342><aud_00322><aud_00523><aud_00112><aud_00798><aud_00798><aud_00690><aud_00056><aud_00740><aud_00740><aud_00173><aud_00717><aud_00600><aud_00362><aud_00390><aud_00152><aud_00195><aud_00363><aud_00457><aud_00457><aud_00571><aud_01020><aud_01020><aud_00580><aud_00580><aud_00293><aud_00814><aud_00800><aud_00499><aud_00328><aud_00802><aud_00545><aud_00421><aud_00382><aud_00382><aud_00346><aud_00716><aud_00825><aud_00947><aud_00947><aud_01010><aud_01010><aud_00180><aud_00855><aud_00737><aud_00878><aud_00642><aud_00133><aud_00447><aud_00047><aud_00347><aud_00347><aud_00777><aud_00777><aud_00755><aud_00514><aud_00836><aud_00461><aud_00095><aud_00095><aud_00095><aud_00734><aud_00327><aud_00882><aud_00773><aud_00160><aud_00160><aud_00160><aud_00619><aud_00084><aud_00084><aud_00084><aud_00410><aud_00443><aud_00443><aud_00443><aud_00443><aud_00050><aud_00050><aud_00050><aud_00016><aud_00585><aud_00585><aud_00721><aud_00915><aud_00915><aud_00681><aud_00904><aud_00056><aud_00041><aud_00041><aud_00174><aud_00496><aud_00660><aud_00660><aud_00859><aud_00859><aud_00859><aud_00952><aud_00952><aud_00480><aud_00480><aud_00095><aud_00095><aud_00095><aud_00321><aud_00321><aud_00839><aud_00145><aud_00145><aud_00105><aud_00105><aud_00105><aud_00105><aud_00105><aud_00797><aud_00797><aud_00142><aud_00034><aud_00782><aud_00245><aud_00250><aud_00250><aud_00205><aud_00112><aud_00112><aud_00798><aud_00904><aud_00030><aud_00030><aud_00458><aud_00649><aud_00649><aud_00649><aud_00849><aud_00849><aud_00577><aud_00027><aud_00202><aud_00392><aud_00231><aud_01008><aud_00596><aud_00596><aud_00858>
NoiseDetection_8,<aud_00161><aud_00679><aud_00679><aud_00287><aud_00442><aud_00659><aud_00998><aud_00335><aud_00094><aud_00094><aud_00094><aud_00743><aud_00743><aud_00743><aud_00723><aud_00339><aud_00976><aud_00611><aud_00768><aud_01011><aud_01007><aud_00220><aud_01007><aud_00220><aud_00228><aud_00030><aud_00094><aud_00555><aud_00555><aud_00555><aud_00220><aud_00220><aud_00220><aud_00094><aud_00220><aud_00711><aud_00094><aud_00220><aud_00711><aud_00220><aud_00786><aud_00215><aud_00215><aud_00215><aud_00472><aud_00975><aud_00094><aud_00094><aud_00395><aud_00093><aud_00565><aud_00565><aud_00527><aud_00101><aud_00035><aud_00035><aud_00849><aud_00849><aud_00027><aud_00202><aud_00392><aud_00392><aud_00104><aud_00922><aud_00374><aud_00374><aud_00121><aud_00121><aud_00920><aud_00920><aud_00920><aud_00285><aud_00056><aud_00056><aud_00513><aud_00513><aud_00868><aud_00670><aud_00705><aud_00705><aud_00817><aud_00817><aud_00695><aud_00268><aud_00268><aud_00268><aud_00273><aud_00273><aud_00296><aud_00035><aud_00035><aud_00849><aud_00849><aud_00027><aud_00354><aud_00354><aud_00731><aud_00392><aud_00213><aud_00213><aud_00213><aud_00213><aud_00535><aud_00535><aud_00535><aud_00220><aud_00285><aud_00285><aud_00800><aud_00786><aud_00996><aud_01011><aud_00953><aud_00220><aud_00220><aud_00527><aud_00296><aud_00035><aud_00035><aud_00849><aud_00849><aud_00027><aud_00379><aud_00786><aud_00996><aud_00124><aud_00418><aud_00705><aud_00705><aud_00094><aud_00094><aud_00094><aud_00094><aud_00285><aud_00677><aud_00132><aud_00132><aud_00132><aud_00786><aud_00786><aud_00786><aud_01011><aud_01007><aud_00220><aud_00123><aud_00457><aud_00457><aud_00457><aud_00457><aud_00457><aud_00457><aud_00457><aud_00834><aud_00553><aud_00527><aud_00527><aud_00285><aud_00035><aud_00132><aud_00786><aud_00786><aud_00786><aud_00194><aud_00194><aud_00194><aud_00342><aud_00583><aud_00124><aud_01012><aud_00418><aud_00096><aud_00757><aud_00525><aud_01001><aud_01001><aud_01001><aud_00523><aud_00587><aud_00451><aud_00339><aud_00030><aud_00030><aud_00442><aud_00741><aud_00998><aud_00622><aud_00622><aud_00622><aud_00622><aud_00622><aud_00220><aud_00840><aud_00035><aud_00035><aud_00132><aud_00379><aud_00786><aud_00867><aud_00867><aud_00418><aud_00220>
NoiseDetection_9,<aud_00035><aud_00035><aud_00035><aud_00849><aud_00849><aud_00849><aud_00849><aud_00849><aud_00457><aud_00457><aud_00834><aud_00834><aud_00834><aud_00616><aud_00221><aud_00221><aud_00094><aud_00094><aud_00514><aud_00625><aud_00631><aud_00728><aud_00132><aud_00132><aud_00132><aud_00513><aud_00513><aud_00990><aud_00990><aud_00990><aud_00990><aud_00632><aud_00615><aud_00527><aud_00296><aud_00296><aud_00035><aud_00849><aud_00027><aud_00027><aud_00158><aud_00220><aud_00314><aud_00148><aud_01007><aud_00736><aud_00736><aud_00220><aud_00285><aud_00167><aud_00167><aud_01012><aud_01012><aud_00513><aud_00418><aud_00953><aud_00953><aud_00953><aud_00953><aud_00220><aud_00625><aud_00328><aud_00328><aud_00328><aud_01007><aud_00328><aud_00444><aud_00444><aud_00444><aud_00266><aud_00464><aud_00864><aud_00714><aud_00714><aud_00101><aud_00035><aud_00035><aud_00849><aud_00849><aud_00849><aud_00849><aud_00849><aud_00849><aud_00379><aud_00379><aud_00834><aud_00834><aud_00238><aud_00238><aud_00238><aud_00238><aud_00238><aud_00191><aud_00191><aud_00119><aud_00119><aud_00205><aud_00205><aud_00205><aud_00205><aud_00586><aud_00747><aud_00714><aud_00714><aud_00527><aud_00035><aud_00035><aud_00849><aud_00849><aud_00849><aud_00849><aud_00379><aud_00379><aud_00867><aud_00435><aud_00435><aud_00435><aud_01008><aud_01008><aud_01008><aud_00858><aud_00858><aud_01012><aud_00418><aud_00418><aud_00557><aud_00557><aud_01007><aud_01018><aud_00527><aud_00296><aud_00035><aud_00035><aud_00132><aud_00132><aud_00132><aud_00132><aud_00786><aud_00786><aud_00786><aud_00867><aud_01011><aud_00714><aud_00220><aud_00123><aud_00527><aud_00527><aud_00457><aud_00457><aud_00457><aud_00457><aud_00457><aud_00457><aud_00457><aud_00834><aud_00834><aud_00834><aud_00468><aud_00468><aud_00438><aud_00438><aud_00922><aud_00922><aud_00922><aud_00018><aud_00018><aud_00121><aud_00121><aud_00121><aud_00460><aud_00296><aud_00339><aud_00030><aud_00649><aud_00649><aud_00849><aud_00849><aud_00027><aud_00027><aud_00786><aud_00867><aud_00123><aud_00123><aud_00457><aud_00864><aud_00834><aud_00553><aud_00553><aud_00553><aud_00387><aud_00387><aud_00674><aud_00003><aud_00197><aud_00772><aud_00772><aud_01007><aud_00123><aud_00123><aud_00457><aud_00786>
