ground_truth,prediction
E,A
B,A
A,A
A,A
A,A
C,A
F,A
E,A
F,A
F,A
D,D
A,D
F,C
A,A
C,A
F,D
C,A
B,D
B,A
B,A
F,A
B,A
A,A
A,A
F,A
E,A
A,D
C,A
B,A
B,A
D,A
D,A
B,A
D,D
C,D
E,A
F,A
D,D
C,A
E,D
A,D
A,A
B,A
F,A
A,A
B,D
B,A
E,D
A,A
E,A
D,D
D,A
A,D
B,A
E,A
D,A
C,A
C,A
A,A
E,D
F,A
D,D
A,A
B,A
F,A
D,A
E,A
D,A
F,A
C,D
E,D
D,A
E,D
B,D
A,A
B,A
D,A
C,A
C,A
A,A
A,A
B,A
C,A
C,A
D,A
D,A
F,A
B,A
E,A
E,A
E,A
B,A
A,A
F,A
B,A
F,A
A,A
D,A
D,A
F,A
C,A
E,A
E,A
E,A
C,A
F,A
D,D
D,A
C,A
F,D
B,A
E,A
B,A
A,A
A,A
B,D
A,D
F,D
A,A
D,D
D,A
A,A
B,D
C,A
F,A
C,A
C,D
D,A
A,A
C,A
B,A
C,C
C,A
F,A
B,A
D,A
B,A
B,D
E,A
B,D
A,A
E,A
E,A
F,A
E,A
B,A
E,D
F,A
D,D
C,A
C,A
E,A
D,D
E,D
B,A
E,A
C,A
B,D
E,A
F,A
F,D
B,A
B,A
F,A
F,A
D,D
D,A
D,A
E,A
B,A
F,A
E,D
F,D
F,A
F,A
A,D
A,A
F,A
E,A
C,A
E,D
B,D
A,A
D,A
D,A
D,A
A,A
D,A
B,A
A,A
F,A
F,A
C,A
A,A
D,A
D,A
B,A
D,A
B,A
D,D
