ground_truth,prediction
B,A
F,A
F,B
D,B
H,B
H,A
D,A
D,B
F,A
E,B
A,B
I,A
D,A
D,B
F,B
G,A
D,A
I,A
G,A
D,B
F,A
D,A
D,B
H,A
D,B
D,A
D,A
E,B
B,B
I,B
H,B
D,B
G,B
H,B
D,B
I,B
D,A
F,B
F,A
C,A
I,A
H,B
E,B
D,A
I,B
H,B
D,A
D,B
C,A
F,B
E,B
D,B
E,B
D,B
D,A
F,B
D,B
E,A
I,B
D,B
C,A
C,A
D,B
D,A
D,B
D,B
E,B
D,A
G,A
B,B
D,B
D,B
D,B
E,B
D,A
B,C
D,B
G,C
D,B
D,B
I,B
D,B
B,B
E,A
D,B
D,A
D,A
D,A
B,B
D,A
E,A
D,B
E,A
G,B
D,B
D,A
I,A
D,A
A,B
E,B
D,A
I,A
F,B
A,A
D,A
D,B
F,A
E,A
D,B
D,A
H,B
B,B
I,B
A,B
D,A
E,A
G,A
D,A
B,A
G,B
I,A
E,A
F,A
G,A
G,A
C,B
B,D
D,A
D,A
D,B
F,B
D,B
A,B
D,B
B,B
D,B
G,B
D,B
D,A
D,B
A,B
F,A
D,B
E,A
I,B
D,A
D,B
H,B
E,B
A,B
D,A
C,A
D,A
D,B
C,D
D,A
F,B
E,A
D,A
F,B
H,A
I,B
B,A
F,B
F,A
C,B
D,A
D,A
D,A
H,B
E,A
D,B
E,A
H,B
G,D
G,C
D,A
F,C
B,B
D,B
I,B
H,A
C,B
D,B
H,A
D,B
D,B
C,B
G,B
E,A
D,A
D,B
D,A
G,B
D,A
F,A
E,B
G,B
F,A
D,B
