ground_truth,prediction
B,A
B,A
C,A
E,A
B,A
C,A
B,A
C,A
D,E
C,A
D,A
B,A
G,A
B,A
B,A
B,E
G,A
E,A
G,E
C,A
B,A
C,A
B,A
B,A
F,A
A,A
B,A
B,A
B,A
B,A
B,A
G,A
B,A
B,A
B,A
B,A
C,A
B,A
B,A
B,A
B,A
B,A
B,A
C,A
B,A
G,A
B,A
B,A
G,E
B,A
E,A
B,A
B,A
E,D
B,A
F,A
B,A
G,A
A,A
B,E
B,A
E,A
C,A
E,A
B,D
B,A
E,A
G,A
B,A
B,A
B,A
B,A
C,A
E,A
B,A
G,A
B,A
C,A
C,D
G,A
C,A
F,A
B,A
B,A
B,D
G,A
B,A
C,A
C,A
C,A
B,A
C,A
C,A
C,A
D,A
B,A
B,A
G,A
G,A
B,D
F,A
C,A
G,A
C,D
E,A
B,A
G,A
F,E
D,A
G,A
B,A
E,A
G,A
B,A
B,E
C,A
E,A
G,A
E,A
B,A
B,A
D,D
G,A
B,A
B,A
C,A
B,A
B,A
B,A
E,E
F,A
G,A
B,A
B,A
A,A
E,A
B,A
B,A
D,A
B,A
B,A
C,E
G,A
E,A
B,A
B,A
E,A
F,A
B,A
B,A
C,A
E,A
G,A
F,A
D,A
B,A
B,A
C,A
B,A
B,A
B,A
G,A
G,A
C,A
G,A
C,A
D,A
B,E
G,A
B,E
B,A
B,D
C,D
B,A
B,A
B,D
B,A
G,A
F,A
G,A
E,A
B,A
B,E
E,A
E,A
F,A
B,A
E,A
E,A
B,A
F,A
C,A
G,D
G,A
B,A
B,A
F,A
C,A
G,A
F,A
