id,audio_tokens
ChordClassification_0,<aud_00678><aud_00678><aud_00678><aud_00043><aud_00138><aud_00024><aud_00557><aud_00557><aud_00557><aud_00557><aud_00557><aud_00557><aud_00557><aud_00557><aud_00557><aud_00557><aud_00557><aud_00557><aud_00557><aud_00473><aud_00557><aud_00557><aud_00473><aud_00557><aud_00557><aud_00557><aud_00825><aud_00825><aud_00557><aud_00108><aud_00557><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00495><aud_00495><aud_00495><aud_00495><aud_00495><aud_00495><aud_00495><aud_00495><aud_00495><aud_00108><aud_00411><aud_00524><aud_00470><aud_00967><aud_00089><aud_00089><aud_00089><aud_00089><aud_00560><aud_00560><aud_00560><aud_00560><aud_00560><aud_00602><aud_00602><aud_00602><aud_00602><aud_00602><aud_00602><aud_00602><aud_00602><aud_00602><aud_00602>
ChordClassification_1,<aud_00557><aud_00932><aud_00557><aud_00131><aud_00557><aud_00131><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00825><aud_00473><aud_00473><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00411><aud_00856><aud_00856><aud_00856><aud_00839><aud_00917><aud_00967><aud_00089><aud_00089>
ChordClassification_2,<aud_00932><aud_00932><aud_00932><aud_00131><aud_00557><aud_00131><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00825><aud_00473><aud_00473><aud_00825><aud_00473><aud_00473><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00108><aud_00108><aud_00108><aud_00108><aud_00856><aud_00856><aud_00524><aud_00470><aud_00967><aud_00089><aud_00089>
ChordClassification_3,<aud_00678><aud_00678><aud_00678><aud_00024><aud_00024><aud_00138><aud_00293><aud_00138><aud_00557><aud_00932><aud_00557><aud_00473><aud_00473><aud_00557><aud_00473><aud_00131><aud_00473><aud_00557><aud_00473><aud_00557><aud_00473><aud_00557><aud_00557><aud_00557><aud_00557><aud_00557><aud_00557><aud_00473><aud_00557><aud_00473><aud_00557><aud_00557><aud_00557><aud_00557><aud_00557><aud_00557><aud_00410><aud_00557><aud_00271><aud_00557><aud_00271><aud_00557><aud_00557><aud_00557><aud_00557><aud_00271><aud_00557><aud_00108><aud_00559><aud_00271><aud_00557><aud_00108><aud_00559><aud_00557><aud_00108><aud_00557><aud_00271><aud_00557><aud_00108><aud_00557><aud_00108><aud_00108><aud_00557><aud_00108><aud_00557><aud_00108><aud_00108><aud_00559><aud_00557><aud_00108><aud_00559><aud_00108><aud_00108><aud_00557><aud_00559><aud_00557><aud_00108><aud_00557><aud_00108><aud_00108><aud_00108><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00529><aud_00529><aud_00529><aud_00529><aud_00529><aud_00529><aud_00529><aud_00529><aud_00529><aud_00529><aud_00529><aud_00529><aud_00529><aud_00529><aud_00529><aud_00529><aud_00529><aud_00529><aud_00470><aud_00967><aud_00089><aud_00089><aud_00089><aud_00560><aud_00560><aud_00560><aud_00560><aud_00602><aud_00602>
ChordClassification_4,<aud_00678><aud_00060><aud_00134><aud_00134><aud_00557><aud_00557><aud_00557><aud_00557><aud_00557><aud_00557><aud_00557><aud_00557><aud_00557><aud_00131><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00825><aud_00825><aud_00473><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00825><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00271><aud_00271><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00495><aud_00108><aud_00495><aud_00495><aud_00495><aud_00495><aud_00495><aud_00495><aud_00495><aud_00495><aud_00495><aud_00411><aud_00411><aud_00524><aud_00524><aud_00524><aud_00524><aud_00524><aud_00529><aud_00529><aud_00529><aud_00470><aud_00967><aud_00089><aud_00089><aud_00089><aud_00560><aud_00560><aud_00560><aud_00560><aud_00602><aud_00602><aud_00602><aud_00602><aud_00602><aud_00602><aud_00602><aud_00602><aud_00602><aud_00602>
ChordClassification_5,<aud_00678><aud_00678><aud_00024><aud_00557><aud_00557><aud_00557><aud_00557><aud_00557><aud_00557><aud_00557><aud_00473><aud_00473><aud_00557><aud_00473><aud_00131><aud_00473><aud_00473><aud_00473><aud_00557><aud_00557><aud_00557><aud_00473><aud_00473><aud_00557><aud_00557><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00271><aud_00271><aud_00271><aud_00271><aud_00271><aud_00271><aud_00495><aud_00495><aud_00495><aud_00495><aud_00495><aud_00495><aud_00495><aud_00495><aud_00411><aud_00411><aud_00411><aud_00524><aud_00524><aud_00524><aud_00524><aud_00524><aud_00524><aud_00470><aud_00967><aud_00089><aud_00089><aud_00089><aud_00560><aud_00560><aud_00560><aud_00560><aud_00560><aud_00602><aud_00602><aud_00602><aud_00602><aud_00602><aud_00602><aud_00602><aud_00602><aud_00602>
ChordClassification_6,<aud_00678><aud_00678><aud_00024><aud_00557><aud_00557><aud_00473><aud_00473><aud_00557><aud_00557><aud_00473><aud_00473><aud_00557><aud_00473><aud_00473><aud_00557><aud_00557><aud_00473><aud_00473><aud_00557><aud_00557><aud_00473><aud_00557><aud_00557><aud_00557><aud_00473><aud_00557><aud_00557><aud_00825><aud_00825><aud_00557><aud_00557><aud_00825><aud_00825><aud_00557><aud_00825><aud_00825><aud_00825><aud_00557><aud_00825><aud_00825><aud_00557><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00495><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00411><aud_00411><aud_00524><aud_00524><aud_00529><aud_00529><aud_00529><aud_00529><aud_00529><aud_00529><aud_00529><aud_00529><aud_00529><aud_00529><aud_00529><aud_00470><aud_00967><aud_00089><aud_00089><aud_00089><aud_00560><aud_00560><aud_00560><aud_00560><aud_00602><aud_00602>
ChordClassification_7,<aud_00557><aud_00883><aud_00293><aud_00557><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00825><aud_00473><aud_00473><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00825><aud_00061><aud_00825><aud_00856><aud_00856><aud_00856><aud_00524><aud_00524><aud_00470><aud_00967><aud_00089><aud_00089>
ChordClassification_8,<aud_00678><aud_00678><aud_00024><aud_00557><aud_00557><aud_00557><aud_00557><aud_00557><aud_00557><aud_00557><aud_00131><aud_00557><aud_00557><aud_00346><aud_00346><aud_00346><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00473><aud_00108><aud_00108><aud_00108><aud_00108><aud_00559><aud_00108><aud_00108><aud_00108><aud_00050><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00108><aud_00050><aud_00050><aud_00050><aud_00050><aud_00050><aud_00050><aud_00050><aud_00050><aud_00050><aud_00050><aud_00271><aud_00271><aud_00271><aud_00271><aud_00271><aud_00271><aud_00050><aud_00050><aud_00050><aud_00050><aud_00108><aud_00108><aud_00108><aud_00108><aud_00271><aud_00271><aud_00271><aud_00271><aud_00271><aud_00108><aud_00108><aud_00135><aud_00135><aud_00108><aud_00108><aud_00495><aud_00495><aud_00495><aud_00495><aud_00495><aud_00495><aud_00495><aud_00495><aud_00495><aud_00495><aud_00495><aud_00495><aud_00495><aud_00411><aud_00690><aud_00690><aud_00690><aud_00690><aud_00690><aud_00470><aud_00967><aud_00089><aud_00089><aud_00089><aud_00560><aud_00560><aud_00560><aud_00560><aud_00602><aud_00602><aud_00602>
ChordClassification_9,<aud_00678><aud_00678><aud_00024><aud_00795><aud_00795><aud_00557><aud_00557><aud_00557><aud_00557><aud_00473><aud_00557><aud_00557><aud_00557><aud_00557><aud_00557><aud_00473><aud_00557><aud_00557><aud_00557><aud_00557><aud_00557><aud_00557><aud_00557><aud_00557><aud_00557><aud_00557><aud_00557><aud_00557><aud_00473><aud_00557><aud_00557><aud_00557><aud_00557><aud_00557><aud_00271><aud_00271><aud_00271><aud_00271><aud_00271><aud_00557><aud_00271><aud_00108><aud_00557><aud_00108><aud_00825><aud_00825><aud_00108><aud_00108><aud_00825><aud_00108><aud_00108><aud_00108><aud_00108><aud_00271><aud_00108><aud_00271><aud_00271><aud_00271><aud_00271><aud_00271><aud_00271><aud_00271><aud_00271><aud_00271><aud_00271><aud_00271><aud_00271><aud_00271><aud_00271><aud_00050><aud_00050><aud_00050><aud_00050><aud_00050><aud_00050><aud_00050><aud_00050><aud_00050><aud_00050><aud_00050><aud_00050><aud_00050><aud_00050><aud_00050><aud_00050><aud_00050><aud_00495><aud_00495><aud_00495><aud_00495><aud_00495><aud_00495><aud_00495><aud_00495><aud_00495><aud_00411><aud_00411><aud_00917><aud_00524><aud_00524><aud_00470><aud_00967><aud_00089><aud_00089><aud_00089><aud_00560><aud_00560><aud_00560><aud_00560><aud_00560><aud_00602><aud_00602><aud_00602>
